lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ ha sido desarrollado por Jean Lalonde`nsobre la plataforma <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraducción al español: kiketrucker`nTraducción al Francés: Jean Lalonde`nTraducción al alemán: Edgar ""Fast Edi"" Hoffmann`nTraducción al holandés: Pieter Dejonghe`nTraducción al coreano: Om Il-Sung`nTraducción al sueco: Åke Engelbrektson`nTraducción al italiano: Riccardo Leone`nTraducción al portugués brasileño: Igor Ruckert`nRevisión del ingles: (bienvenida la ayuda)`n`nIconos por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nInstalador: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nSources AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Gratuiciel.
lAboutText4	Soporte en línea: <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Acerca de - ~1~ ~2~
lAlternativeMenuTrayTipCopyLocation	Select the favorite to copy ; new
lAlternativeMenuTrayTipEditFavorite	Select the favorite to edit ; new
lAlternativeMenuTrayTipNewWindow	Select the folder to open in a new window ; new
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Quick Start</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Frequently asked questions</a> • <a href="http://www.quickaccesspopup.com">Support</a> (English) ; new - do not translate URLs
lCopyLocationCopiedToClipboard	Path or URL copied to the Clipboard ; new
lDiagModeCaution	~1~ función en modo diagnóstico.`n`nLa información acerca de la ejecución de esta aplicación será recogida en el archivo:`n~2~`n`nNinguna información será transmitida sin su consentimiento.`n`nDesea continuar en modo diagnóstico?
lDiagModeExit	~1~ tiene información recopilada para fines de diagnóstico en el archivo ~2~.
lDiagModeIntro	Enviar este fichero a ahk@jeanlalonde.ca con una descripción de la situación que requiere un diagnóstico.
lDiagModeSee	Quiere consultar el fichero de diagnóstico?
lDialogAdd	Añadir
lDialogAddEditFavoriteTitle	~1~ Favorite: ~4~ - ~2~ ~3~ ; CHANGED - WAS: ~1~ un favorito - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Add Favorite - ~1~ ~2~ ; new
lDialogAddFavoriteTabs	Basic Settings|Menu Options|Window Options|Advanced Settings ; new
lDialogAddFileSelect	elegir un nuevo documento:
lDialogAddFolderManuallyPrompt	Sorry, we can't detect the current folder in this type of window.`n`nDo you want to add a favorite folder manually now? ; CHANGED - WAS: Lo sentimos, no podemos detectar automáticamente la carpeta actual en este tipo de ventana.`n`nQuiere añadir este fichero manualmente?
lDialogAddFolderManuallyTitle	Agregar carpeta - ~1~ ~2~
lDialogAddFolderSelect	Elegir donde crear una nueva carpeta:
lDialogAlt	Alt ; new - lOptionsAlt renamed
lDialogApplicationLabel	Aplicación
lDialogArgumentsLabel	Parámetros
lDialogArgumentsLabelHelp	(enclose each parameter in double-quotes if required) ; new
lDialogArgumentsPlaceholders	You can insert the location of this favorite or part of it in the parameters using these placeholders: {LOC} (full location), {NAME} (file name), {DIR} (directory), {EXT} (extension), {NOEXT} (file name without extension) or {DRIVE} (drive) ; new
lDialogArgumentsPlaceholdersCheckLabel	Current parameters with expanded placeholders ; new
lDialogBrowseButton	Revisar
lDialogBrowseOrSelectApplication	Browse for an executable file or`nselect a running application in this list ; new
lDialogCancelButton	Anular
lDialogCancelPrompt	Anular los cambios?
lDialogCancelTitle	Anular - ~1~ ~2~
lDialogChangeHotkeyAlternative	This is an Alternative menu hotkey.`n`nDo you want to manage "~1~" in "~2~"? ; new
lDialogChangeHotkeyNote	Note: The location "~1~" will be linked to the new hotkey in all menus. ; new
lDialogChangeHotkeyPopup	This is a popup menu hotkey.`n`nDo you want to manage "~1~" in "~2~"? ; new
lDialogChangeHotkeyTitle	Change hotkey - ~1~ ~2~ ; new - lOptionsChangeHotkeyTitle renamed
lDialogContinue	Continue ; new
lDialogCopy	Copy ; new
lDialogCtrl	Control ; new
lDialogCtrlShort	Ctrl ; new
lDialogEdit	Modificar
lDialogEditIcon	Edit icon resource ; new
lDialogEditIconPrompt	Edit icon resource in the format "iconfile,index" (for example, "shell32.dll,2"): ; new
lDialogEndOfMenu	fin del menú
lDialogErrorMoving	Unable to resize for favorite:`n"~1~" ; new
