lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	O ~1~ é escrito por Jean Lalonde usando a linguagem de programação`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTradução para o Alemão: Edgar "Fast Edi" Hoffmann`nTradução para o Francês: Jean Lalonde`nTradução para o Holandês: Pieter Dejonghe`nTradução para o Coreano: Om Il-Sung`nTradução para o Sueco:Åke Engelbrektson`nTradução pata o Italiano: Riccardo Leone`nTradução para o Espanhol: kiketrucker`nTradução para Português (Brasil): Igor Rückert`nOutras traduções de idioma: (ajuda sempre bem-vinda)`nVerificação de prova em ingês: (ajuda sempre bem-vinda)`n`nÍcones por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nPrograma de instalação: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nFontes AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2015. Freeware.
lAboutText4	Suporte em <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Sobre - ~1~ ~2~
lAlternativeMenuTrayTipCopyLocation	Selecione o favorito para copiar
lAlternativeMenuTrayTipEditFavorite	Selecione o favorito para editar
lAlternativeMenuTrayTipNewWindow	Selecione a pasta para abrir em uma nova janela
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Início Rápido</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Perguntas Frequentes</a> • <a href="http://www.quickaccesspopup.com">Suporte</a> (Inglês)
lCopyLocationCopiedToClipboard	Caminho ou URL copiada para a Área de Transferência
lDiagModeCaution	O ~1~ está sendo executado no modo de diagnóstico.`n`nSerão coletadas informações sobre a execução do aplicativo para o arquivo:`n~2~`n`nNada será enviado sem o seu consentimento.`n`nDeseja manter o modo de diagnóstico ATIVADO?
lDiagModeExit	O ~1~ coletou informações de diagnóstico para o arquivo ~2~.
lDiagModeIntro	Envie este arquivo para ahk@jeanlalonde.ca com uma descrição da situação que exige diagnóstico.
lDiagModeSee	Deseja ver o arquivo de diagnóstico?
lDialogActivateAlreadyRunning	Se o aplicativo já está em execução, ative-o em vez de iniciá-lo`n(o aplicativo deve estar exatamente no mesmo local)
lDialogAdd	Adicionar
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Adicionar Favorito - ~1~ ~2~
lDialogAddFavoriteTabs	Configurações Básicas|Opções do Menu|Opções da Janela|Configurações Avançadas
lDialogAddFileSelect	Escolha o novo documento:
lDialogAddFolderManuallyPrompt	Desculpe, não detectamos a pasta atual neste tipo de janela.`n`nDeseja adicionar uma pasta favorita manualmenet agora?
lDialogAddFolderManuallyTitle	Adicionar esta Pasta - ~1~ ~2~
lDialogAddFolderSelect	Escolha ou crie a nova pasta:
lDialogAlt	Alt
lDialogApplicationLabel	Aplicativo
lDialogArgumentsLabel	Parâmetros
lDialogArgumentsLabelHelp	(coloque cada parâmetro entre aspas, se necessário)
lDialogArgumentsPlaceholders	Você pode inserir a localização deste favorito ou parte dele nos parâmetros  usando estes marcadores: {LOC} (localização completa), {NAME} (nome do arquivo), {DIR} (pasta), {EXT} (extensão), {NOEXT} (nome do arquivo sem extensão) or {DRIVE} (unidade)
lDialogArgumentsPlaceholdersCheckLabel	Parâmetros atuais com marcadores expandidos
lDialogBrowseButton	Procurar
lDialogBrowseOrSelectApplication	Procure por um arquivo executável ou`nselecione um aplicativo em execução na lista
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alterações?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogChangeHotkeyAlternative	Esta é a tecla de atalho do menu Alternativo.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyNote	Nota: O local "~1~" será vinculado à nova tecla de atalho em todos os menus.
lDialogChangeHotkeyPopup	Esta é a tecla de atalho do menu popup.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyTitle	Alterar tecla de atalho - ~1~ ~2~
lDialogContinue	Continuar
lDialogCopy	Copiar
lDialogCtrl	Controle
lDialogCtrlShort	Ctrl
lDialogEdit	Editar
lDialogEditIcon	Editar ícone
lDialogEditIconPrompt	Edite o ícone no formato "arquivo de ícone,índice" (por exemplo: "shell32.dll,2")
lDialogEndOfMenu	final do menu
lDialogErrorMoving	Não foi possível redimensionar o favorito:`n"~1~"
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~"~2~ não existe ou não está disponível.`n`nSe este favorito está em uma unidade de rede, tente novamente depois da autenticação de rede.
lDialogFavoriteDoesNotExistTitle	O favorito não existe - ~1~
lDialogFavoriteDropdownEmpty	Por favor, escolha um item na lista do menu suspenso ~1~.
lDialogFavoriteLocationEmpty	O local está vazio. Por favor, escolha um local.
lDialogFavoriteMenuPosition	Inserir o novo favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito está vazio. Por favor, escolha um nome.
lDialogFavoriteNameNoSeparator	O nome deste item não pode incluir o caractere reservado "~1~".
lDialogFavoriteNameNotAllowed	Favoritos do tipo "~1~" não são permitidos em grupos. Por favor, selecione outro menu pai na aba "Opções do Menu".
lDialogFavoriteNameNotNew	O nome "~1~" já está em uso neste menu. Por favor, escolha um novo nome.
lDialogFavoriteNameNotNewQAPfeature	O nome "~1~" já está em uso neste menu. Por favor, renomeie o favorito existente e tente novamente.
lDialogFavoriteParentMenu	Menu pai do favorito
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO seu conteúdo (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoriteSelectType	Selecione o tipo de favorito para adicionar.`n`nNa próxima janela, você dará ao seu favorito:`n- um nome`n- um conteúdo (dependendo do tipo)`n- várias configurações (ícone, atalho, etc.)`n`nEscolha o tipo do novo favorito e clique "~1~".
lDialogFavoriteShortNameLabel	Nome curto para o menu
lDialogFavoritesParentMenuMove	Mover favoritos do ~1~ para este menu
lDialogFavoriteType	Tipo do Favorito
lDialogFavoriteTypesHelp1	Crie um atalho para uma "Pasta" usada com frequência.`n`nDefina o nome do menu do favorito, caminho e várias opções de menu.`n`nConfigurações avançadas permitem definir a posição da janela e opções do gerenciador de arquivos.
